t_s,desired_deg,actual_deg,uq,vel_rads,amp,phase
4.8161,0.026,-0.125,0.0803,-0.0018,0.0,home0
5.0231,0.000,-0.119,0.0849,0.0034,0.0,home0
5.3057,0.000,-0.089,0.0998,-0.0066,0.0,home0
5.5690,13.867,7.165,-0.0822,0.9569,15.0,c0+
5.8323,15.000,10.713,0.2574,0.2693,15.0,c0+
6.0954,15.000,13.776,0.0412,0.1193,15.0,c0+
6.3586,15.000,14.241,0.1379,0.0369,15.0,c0+
6.6215,15.000,14.648,0.1528,0.0284,15.0,c0+
6.8871,-5.299,7.828,-0.0923,-0.4309,15.0,c0-
7.1500,-15.000,-5.350,-0.1707,-0.6839,15.0,c0-
7.4328,-15.000,-11.344,-0.0926,-0.4063,15.0,c0-
7.6961,-15.000,-13.108,-0.0581,-0.0473,15.0,c0-
7.9589,-15.000,-14.259,-0.0859,-0.0442,15.0,c0-
8.2233,5.322,-7.060,0.0761,0.6162,15.0,c1+
8.4860,15.000,6.436,-0.0736,1.0738,15.0,c1+
8.7500,15.000,10.444,0.2424,0.2844,15.0,c1+
9.0139,15.000,14.169,0.0418,0.2772,15.0,c1+
9.2958,15.000,14.276,0.0979,0.0354,15.0,c1+
9.5598,15.000,14.643,0.1168,0.0183,15.0,c1+
9.8233,-2.564,9.787,-0.0931,-0.4370,15.0,c1-
10.0869,-15.000,-5.237,-0.1595,-0.7903,15.0,c1-
10.3496,-15.000,-10.874,-0.1269,-0.3537,15.0,c1-
10.6135,-15.000,-13.427,-0.0376,-0.1730,15.0,c1-
10.8762,-15.000,-14.183,-0.0845,-0.0508,15.0,c1-
11.1408,-15.000,-14.687,-0.0869,-0.0190,15.0,c1-
11.4240,5.323,-7.286,0.0266,0.7976,15.0,c2+
11.6869,15.000,6.401,-0.0125,0.7441,15.0,c2+
11.9506,15.000,10.385,0.2473,0.2695,15.0,c2+
12.2138,15.000,14.032,0.0007,0.1826,15.0,c2+
12.4769,15.000,14.334,0.0903,0.0302,15.0,c2+
12.7399,15.000,14.652,0.1090,0.0237,15.0,c2+
13.0035,-5.302,7.674,-0.0933,-0.4439,15.0,c2-
13.2685,-15.000,-5.223,-0.1581,-0.7736,15.0,c2-
13.5507,-15.000,-11.062,-0.1270,-0.3326,15.0,c2-
13.8137,-15.000,-13.336,-0.0510,-0.0943,15.0,c2-
14.0770,-15.000,-14.276,-0.0863,-0.0390,15.0,c2-
14.3412,5.321,-7.109,0.0748,0.6197,15.0,c3+
14.6040,15.000,6.480,-0.0635,1.0815,15.0,c3+
14.8673,15.000,10.399,0.2219,0.3342,15.0,c3+
15.1322,15.000,14.180,0.0088,0.4283,15.0,c3+
15.3948,15.000,14.348,0.0871,0.0381,15.0,c3+
15.6772,15.000,14.648,0.1060,0.0154,15.0,c3+
15.9411,-2.567,9.724,-0.0869,-0.4503,15.0,c3-
16.2038,-15.000,-5.330,-0.1576,-0.7978,15.0,c3-
16.4671,-15.000,-11.226,-0.1406,-0.3438,15.0,c3-
16.7311,-15.000,-13.279,-0.0637,-0.0805,15.0,c3-
