t_s,desired,actual,uq,vel,phase
0.0000,0.0000,-1.3718,0.1759,-0.0289,post_recal_zero
0.0085,0.0000,2.0137,-0.3218,0.0461,post_recal_zero
0.0170,0.0000,-1.6899,0.1801,-0.0374,post_recal_zero
0.0252,0.0000,2.5826,-0.3091,0.0537,post_recal_zero
0.0344,0.0000,-2.0099,0.1728,-0.0426,post_recal_zero
0.0427,0.0000,2.7099,-0.2785,0.0590,post_recal_zero
0.0510,0.0000,-2.0438,0.1575,-0.0477,post_recal_zero
0.0591,0.0000,2.7860,-0.2406,0.0644,post_recal_zero
0.0677,0.0000,-2.2519,0.1285,-0.0527,post_recal_zero
0.0759,0.0000,2.9003,-0.2610,0.0814,post_recal_zero
0.0844,0.0000,-2.3214,0.0871,-0.0545,post_recal_zero
0.0929,0.0000,2.8466,-0.1624,0.0688,post_recal_zero
0.1015,0.0000,-2.3185,0.0799,-0.0563,post_recal_zero
0.1100,0.0000,4.3564,-0.3143,0.1073,post_recal_zero
0.1186,0.0000,-2.8079,0.0023,-0.0556,post_recal_zero
0.2494,0.0000,2.7400,0.0629,0.0169,post_recal_zero
0.5122,0.0000,-2.2870,0.1777,-0.0953,post_recal_zero
0.7759,0.0000,-0.2059,0.1655,-0.0134,post_recal_zero
1.0397,0.0000,-2.1998,-0.2446,0.0072,post_recal_zero
1.3226,0.0000,-1.1055,0.1724,-0.0176,post_recal_zero
1.5852,0.0000,0.6657,-0.2328,0.0059,post_recal_zero
1.8477,0.0000,-1.4252,0.1852,-0.0255,post_recal_zero
2.1114,0.0000,1.9154,-0.3218,0.0415,post_recal_zero
2.3743,0.0000,-1.7148,0.1836,-0.0371,post_recal_zero
2.6375,0.0000,2.4482,-0.3078,0.0574,post_recal_zero
2.9003,0.0000,-1.9282,0.1597,-0.0437,post_recal_zero
3.1646,0.0000,2.7869,-0.2864,0.0643,post_recal_zero
3.4471,0.0000,-2.0771,0.1525,-0.0454,post_recal_zero
3.7098,0.0000,2.9041,-0.2594,0.0656,post_recal_zero
3.9725,0.0000,-2.1974,0.1265,-0.0521,post_recal_zero
4.2359,0.0000,2.9582,-0.2596,0.0714,post_recal_zero
4.4990,0.0000,-2.3138,0.1289,-0.0568,post_recal_zero
4.7616,0.0000,3.0288,-0.2220,0.0778,post_recal_zero
5.0263,0.0000,-2.3342,0.0741,-0.0550,post_recal_zero
5.2894,0.0000,2.8652,-0.2876,0.0969,post_recal_zero
5.5716,0.0000,-2.4763,0.0945,-0.0600,post_recal_zero
5.8345,0.0000,4.0677,-0.2679,0.1012,post_recal_zero
6.0976,0.0000,-2.8885,0.0005,-0.0559,post_recal_zero
6.3602,0.0000,1.8366,0.1069,0.0062,post_recal_zero
6.6238,0.0000,-3.6152,0.0023,-0.0622,post_recal_zero
6.8864,0.0000,-0.7186,0.1743,-0.0195,post_recal_zero
7.1512,0.0000,0.1548,-0.3095,0.0283,post_recal_zero
7.4146,0.0000,-1.4068,0.1853,-0.0248,post_recal_zero
7.6958,0.0000,1.9453,-0.3170,0.0361,post_recal_zero
7.9592,0.0000,-1.6845,0.1845,-0.0324,post_recal_zero
8.2214,0.0000,2.3063,-0.3302,0.0504,post_recal_zero
0.0000,0.0000,0.0941,-0.2930,-0.0306,after_angle_cmd_zero
0.0086,0.0000,-1.3331,0.1889,-0.0687,after_angle_cmd_zero
0.0171,0.0000,1.8153,-0.3314,0.0139,after_angle_cmd_zero
0.0252,0.0000,-1.6378,0.1844,-0.0559,after_angle_cmd_zero
0.0334,0.0000,2.3281,-0.3333,0.0382,after_angle_cmd_zero
0.0415,0.0000,-1.7758,0.1796,-0.0454,after_angle_cmd_zero
0.0496,0.0000,2.4710,-0.3140,0.0434,after_angle_cmd_zero
0.1239,0.0000,-2.0053,0.1753,-0.0471,after_angle_cmd_zero
0.3875,0.0000,2.6479,-0.3036,0.0567,after_angle_cmd_zero
0.6506,0.0000,-2.0324,0.1558,-0.0488,after_angle_cmd_zero
0.9138,0.0000,2.8220,-0.2687,0.0640,after_angle_cmd_zero
1.1769,0.0000,-2.1319,0.1208,-0.0523,after_angle_cmd_zero
1.4409,0.0000,2.9268,-0.2828,0.0839,after_angle_cmd_zero
1.7229,0.0000,-2.4057,0.1226,-0.0570,after_angle_cmd_zero
1.9859,0.0000,3.2513,-0.2224,0.0772,after_angle_cmd_zero
2.2492,0.0000,-2.4242,0.0826,-0.0570,after_angle_cmd_zero
2.5121,0.0000,2.9080,-0.2923,0.0983,after_angle_cmd_zero
2.7753,0.0000,-2.5748,0.0561,-0.0640,after_angle_cmd_zero
3.0374,0.0000,4.3962,-0.0520,0.0482,after_angle_cmd_zero
3.3020,0.0000,-2.3557,0.1015,-0.0793,after_angle_cmd_zero
3.5652,0.0000,1.1252,0.1384,-0.0025,after_angle_cmd_zero
3.8475,0.0000,-3.4850,0.1453,-0.0878,after_angle_cmd_zero
4.1104,0.0000,-0.5371,0.1342,-0.0038,after_angle_cmd_zero
4.3732,0.0000,-3.8352,-0.0965,-0.0357,after_angle_cmd_zero
4.6368,0.0000,-0.9744,0.1862,-0.0222,after_angle_cmd_zero
4.8996,0.0000,0.5920,-0.3244,0.0336,after_angle_cmd_zero
5.1620,0.0000,-1.4643,0.1929,-0.0326,after_angle_cmd_zero
5.4271,0.0000,2.0816,-0.3252,0.0466,after_angle_cmd_zero
5.6896,0.0000,-1.7672,0.1872,-0.0346,after_angle_cmd_zero
5.9716,0.0000,2.5101,-0.3251,0.0513,after_angle_cmd_zero
6.2345,0.0000,-2.0048,0.1795,-0.0414,after_angle_cmd_zero
6.4978,0.0000,2.5777,-0.3027,0.0551,after_angle_cmd_zero
6.7608,0.0000,-1.9797,0.1684,-0.0460,after_angle_cmd_zero
7.0235,0.0000,2.7501,-0.2985,0.0639,after_angle_cmd_zero
7.2872,0.0000,-2.0821,0.1492,-0.0477,after_angle_cmd_zero
7.5515,0.0000,2.9543,-0.2161,0.0636,after_angle_cmd_zero
7.8333,0.0000,-2.2322,0.1209,-0.0510,after_angle_cmd_zero
8.0964,0.0000,3.5244,-0.2893,0.0828,after_angle_cmd_zero
